Id,OverallQual,GrLivArea,TotalBsmtSF,1stFlrSF,BsmtFinSF1,2ndFlrSF,GarageCars,YearBuilt,GarageArea
1461,5,896,882.0,896,468.0,0,1.0,1961,730.0
1462,6,1329,1329.0,1329,923.0,0,1.0,1958,312.0
1463,5,1629,928.0,928,791.0,701,2.0,1997,482.0
1464,6,1604,926.0,926,602.0,678,2.0,1998,470.0
1465,8,1280,1280.0,1280,263.0,0,2.0,1992,506.0
1466,6,1655,763.0,763,0.0,892,2.0,1993,440.0
1467,6,1187,1168.0,1187,935.0,0,2.0,1992,420.0
1468,6,1465,789.0,789,0.0,676,2.0,1998,393.0
1469,7,1341,1300.0,1341,637.0,0,2.0,1990,506.0
1470,4,882,882.0,882,804.0,0,2.0,1970,525.0
1471,7,1337,1405.0,1337,1051.0,0,2.0,1999,511.0
1472,6,987,483.0,483,156.0,504,1.0,1971,264.0
1473,5,1092,525.0,525,300.0,567,1.0,1971,320.0
1474,6,1456,855.0,855,514.0,601,2.0,1975,440.0
1475,7,836,836.0,836,0.0,0,1.0,1975,308.0
1476,9,2334,1590.0,1627,0.0,707,3.0,2009,751.0
1477,8,1544,1544.0,1544,0.0,0,3.0,2009,868.0
1478,9,1698,1698.0,1698,110.0,0,3.0,2005,730.0
1479,8,1822,1822.0,1822,28.0,0,3.0,2005,678.0
1480,9,2696,2846.0,2696,1373.0,0,3.0,2003,958.0
1481,8,2250,1671.0,1687,578.0,563,3.0,2002,756.0
1482,8,1370,1370.0,1370,24.0,0,2.0,2006,484.0
1483,6,1324,1324.0,1324,0.0,0,2.0,2005,430.0
1484,7,1145,1145.0,1145,16.0,0,2.0,2006,437.0
1485,7,1374,384.0,744,326.0,630,2.0,2004,400.0
1486,7,1733,847.0,847,0.0,886,2.0,2004,433.0
1487,8,2475,1629.0,1645,0.0,830,3.0,1998,962.0
1488,8,1595,1595.0,1595,0.0,0,3.0,2005,880.0
1489,7,1218,1218.0,1218,0.0,0,2.0,2009,676.0
1490,6,1468,1468.0,1468,1414.0,0,2.0,2005,528.0
1491,7,1659,831.0,831,0.0,828,2.0,2004,484.0
1492,5,1012,816.0,1012,0.0,0,1.0,1920,429.0
1493,6,1494,1208.0,1494,126.0,0,2.0,1974,461.0
1494,8,2349,1231.0,1251,250.0,1098,3.0,1993,762.0
1495,8,2225,1390.0,1402,1129.0,823,3.0,1992,713.0
1496,7,1488,1488.0,1488,1298.0,0,2.0,2004,506.0
1497,7,1680,840.0,840,0.0,840,2.0,2004,588.0
1498,7,1200,600.0,600,280.0,600,2.0,2004,480.0
1499,7,1200,600.0,600,368.0,600,2.0,2004,480.0
1500,6,1236,600.0,600,376.0,636,2.0,2005,480.0
1501,6,1512,756.0,756,466.0,756,2.0,2000,440.0
1502,7,1080,530.0,530,244.0,550,2.0,2003,496.0
1503,8,1418,1642.0,1418,1032.0,0,3.0,2010,852.0
1504,8,1848,975.0,975,484.0,873,2.0,2000,592.0
1505,7,1492,1492.0,1492,833.0,0,2.0,2002,596.0
1506,6,1829,1829.0,1829,506.0,0,2.0,1967,535.0
1507,6,2495,1280.0,1280,1137.0,1215,2.0,1993,660.0
1508,6,1891,1224.0,1287,687.0,604,2.0,1978,678.0
1509,6,1645,715.0,930,329.0,715,2.0,1971,441.0
