SalePrice,OverallQual,GrLivArea,TotalBsmtSF,1stFlrSF,BsmtFinSF1,2ndFlrSF,GarageCars,YearBuilt,GarageArea
208500,7,1710,856,856,706,854,2,2003,548
181500,6,1262,1262,1262,978,0,2,1976,460
223500,7,1786,920,920,486,866,2,2001,608
140000,7,1717,756,961,216,756,3,1915,642
250000,8,2198,1145,1145,655,1053,3,2000,836
143000,5,1362,796,796,732,566,2,1993,480
307000,8,1694,1686,1694,1369,0,2,2004,636
200000,7,2090,1107,1107,859,983,2,1973,484
129900,7,1774,952,1022,0,752,2,1931,468
118000,5,1077,991,1077,851,0,1,1939,205
129500,5,1040,1040,1040,906,0,1,1965,384
345000,9,2324,1175,1182,998,1142,3,2005,736
144000,5,912,912,912,737,0,1,1962,352
279500,7,1494,1494,1494,0,0,3,2006,840
157000,6,1253,1253,1253,733,0,1,1960,352
132000,7,854,832,854,0,0,2,1929,576
149000,6,1004,1004,1004,578,0,2,1970,480
90000,4,1296,0,1296,0,0,2,1967,516
159000,5,1114,1114,1114,646,0,2,2004,576
139000,5,1339,1029,1339,504,0,1,1958,294
325300,8,2376,1158,1158,0,1218,3,2005,853
139400,7,1108,637,1108,0,0,1,1930,280
230000,8,1795,1777,1795,0,0,2,2002,534
129900,5,1060,1040,1060,840,0,2,1976,572
154000,5,1060,1060,1060,188,0,1,1968,270
256300,8,1600,1566,1600,0,0,3,2007,890
134800,5,900,900,900,234,0,2,1951,576
306000,8,1704,1704,1704,1218,0,3,2007,772
207500,5,1600,1484,1600,1277,0,1,1957,319
68500,4,520,520,520,0,0,1,1927,240
40000,4,1317,649,649,0,668,1,1920,250
149350,5,1228,1228,1228,0,0,1,1966,271
179900,8,1234,1234,1234,0,0,2,2007,484
165500,5,1700,1398,1700,1018,0,2,1959,447
277500,9,1561,1561,1561,1153,0,2,2005,556
309000,8,2452,1117,1132,0,1320,3,2004,691
145000,5,1097,1097,1097,0,0,2,1994,672
153000,5,1297,1297,1297,1213,0,2,1954,498
109000,5,1057,1057,1057,731,0,1,1953,246
82000,4,1152,0,1152,0,0,0,1955,0
160000,6,1324,1088,1324,643,0,2,1965,440
170000,5,1328,1350,1328,967,0,1,1959,308
144000,5,884,840,884,747,0,2,1983,504
130250,5,938,938,938,280,0,1,1975,308
141000,5,1150,1150,1150,179,0,1,1959,300
319900,9,1752,1752,1752,456,0,2,2005,576
239686,7,2149,1434,1518,1351,631,2,2003,670
249700,8,1656,1656,1656,24,0,3,2006,826
113000,4,1452,736,736,0,716,0,1920,0
127000,5,955,955,955,763,0,1,1966,386
177000,6,1470,794,794,182,676,2,1997,388
114500,6,1176,816,816,0,0,2,1934,528
110000,5,816,816,816,104,0,2,1963,516
385000,9,1842,1842,1842,1810,0,3,1981,894
130000,5,1360,384,1360,384,0,2,1955,572
180500,6,1425,1425,1425,490,0,2,1964,576
172500,8,1739,970,983,649,756,2,1999,480
196500,7,1720,860,860,0,860,2,2004,565
438780,10,2945,1410,1426,0,1519,3,2006,641
124900,5,780,780,780,632,0,1,1972,352
158000,6,1158,1158,1158,941,0,2,2004,576
101000,5,1111,530,581,0,530,1,1920,288
